Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,LMA,N.perc,C.perc,N.area,C.area,Vcmax.N,Jmax.N,R.N
w.c,265,5,5,1,151,35,153.2065716,201.2233571,2.774671456,50.33444813,161.3880464,2.474710806,75.3,1.77,44.73,13.29646781,336.9195946,11.52235119,15.13359488,0.208677334
w.c,265,6,5,1,151,35.2,117.768589,152.512491,1.947531465,37.74304249,123.4766433,1.503665999,75.3,1.77,44.73,13.29646781,336.9195946,8.857133395,11.47015082,0.146469836
w.c,268,7,5,1,151,35.9,137.9686176,179.2487722,2.59185338,39.75455845,153.0512252,1.983826903,75.3,1.77,44.73,13.29646781,336.9195946,10.376336,13.48093154,0.194927963
w.c,268,8,5,1,151,41.1,210.0380864,171.0142519,2.7738028,37.14430339,206.4032784,2.790265344,75.3,1.77,44.73,13.29646781,336.9195946,15.79653255,12.8616302,0.208612004
w.c,268,9,5,1,151,40.8,189.5646346,166.7941201,2.644895731,35.74067558,205.5166409,2.515582106,75.3,1.77,44.73,13.29646781,336.9195946,14.25676633,12.54424276,0.198917169
w.c,268,10,5,1,151,41.6,196.0557319,166.9803514,3.011644146,32.89840419,224.8920242,2.665647143,75.3,1.77,44.73,13.29646781,336.9195946,14.74494842,12.55824884,0.226499563
w.c,268,11,5,1,151,41.3,174.3891575,160.606022,2.327632319,31.68874158,191.2156022,2.452535828,75.3,1.77,44.73,13.29646781,336.9195946,13.11544991,12.07884863,0.17505644
w.c,269,12,5,1,151,44.9,169.8645151,127.5879416,1.395410859,20.12752711,253.6795721,1.151002596,75.3,1.77,44.73,13.29646781,336.9195946,12.77516086,9.59562671,0.104945981
w.c,269,13,5,1,151,44.6,179.757774,114.3035306,2.414289897,22.65594181,229.7330735,2.185984271,75.3,1.77,44.73,13.29646781,336.9195946,13.51921252,8.596533479,0.181573778
w.w,243,1,1,1,111,41.6,198.1914355,277.540472,1.820318348,34.97827999,365.2717538,2.047384005,90.2,2.29,46.39,20.68909744,418.6424989,9.57951095,13.41481777,0.087984425
w.w,243,2,1,1,111,38.7,213.7019728,265.3068881,2.000941472,48.15470228,258.6667841,1.616502484,90.2,2.29,46.39,20.68909744,418.6424989,10.32920713,12.82351194,0.096714778
w.w,243,1,2,1,121,38.1,217.1776784,209.2649431,2.467289181,53.98261973,192.8161019,2.635976936,79.2,1.99,44.72,15.77024955,354.2101323,13.77135331,13.26960251,0.156452133
